year, area, rooms, price
1900, 100, 1, 50000
1910, 150, 1, 80000
1920, 200, 1, 120000
1930, 250, 1, 180000
1940, 300, 1, 250000
1950, 350, 1, 350000
1960, 380, 1, 450000
1970, 400, 1, 550000
1980, 420, 1, 600000
1985, 435, 1, 625000
1990, 450, 1, 650000
1995, 550, 1, 950000
2000, 650, 2, 1500000
2005, 750, 2, 2100000
2010, 800, 2, 2700000
2015, 850, 2, 3200000
2018, 900, 2, 3500000
2019, 1000, 2, 3700000
2020, 1100, 3, 3900000
2021, 1200, 3, 4200000
2022, 1300, 3, 4600000
2023, 1400, 4, 5000000
2024, 1500, 4, 5400000
